sysDescr.0    = Juniper Networks, Inc. mx80 internet router, kernel JUNOS 15.1R6.7, Build date: 2017-04-23 01:51:20 UTC Copyright (c) 1996-2017 Juniper Networks, Inc.
ifPhysAddress.23 = 02 00 02 00  00 04 
ifPhysAddress.24 = 02 00 02 00  00 04 
ifPhysAddress.33 = 02 00 00 00  00 0b 
ifPhysAddress.34 = 02 00 00 00  00 0b 
ifPhysAddress.501
ifPhysAddress.502 = 88 e0 f3 78  50 11 
ifPhysAddress.503 = 88 e0 f3 78  50 b0 
ifPhysAddress.504
ifPhysAddress.505 = 88 e0 f3 78  50 f0 
ifPhysAddress.506
ifPhysAddress.507
ifPhysAddress.508
ifPhysAddress.509
ifPhysAddress.510
ifPhysAddress.511
ifPhysAddress.512 = 88 e0 f3 78  50 00 
ifPhysAddress.513 = 88 e0 f3 78  50 01 
ifPhysAddress.514 = 88 e0 f3 78  50 02 
ifPhysAddress.515 = 88 e0 f3 78  50 03 
ifPhysAddress.516 = 88 e0 f3 78  50 60 
ifPhysAddress.517 = 88 e0 f3 78  50 61 
ifPhysAddress.518 = 88 e0 f3 78  50 62 
ifPhysAddress.519 = 88 e0 f3 78  50 63 
ifPhysAddress.520 = 88 e0 f3 78  50 64 
ifPhysAddress.521 = 88 e0 f3 78  50 65 
ifPhysAddress.522 = 88 e0 f3 78  50 66 
ifPhysAddress.523 = 88 e0 f3 78  50 67 
ifPhysAddress.524 = 88 e0 f3 78  50 68 
ifPhysAddress.525 = 88 e0 f3 78  50 69 
ifPhysAddress.526 = 88 e0 f3 78  50 78 
ifPhysAddress.527 = 88 e0 f3 78  50 79 
ifPhysAddress.528 = 88 e0 f3 78  50 7a 
ifPhysAddress.529 = 88 e0 f3 78  50 7b 
ifPhysAddress.530 = 88 e0 f3 78  50 7c 
ifPhysAddress.531 = 88 e0 f3 78  50 7d 
ifPhysAddress.532 = 88 e0 f3 78  50 7e 
ifPhysAddress.533 = 88 e0 f3 78  50 7f 
ifPhysAddress.534 = 88 e0 f3 78  50 80 
ifPhysAddress.535 = 88 e0 f3 78  50 81 
ifPhysAddress.536 = 88 e0 f3 78  50 c0 
ifPhysAddress.537 = 88 e0 f3 78  50 c0 
ifPhysAddress.540
ifPhysAddress.542
ifPhysAddress.555
ifPhysAddress.583 = 88 e0 f3 78  50 69 
ifPhysAddress.584 = 88 e0 f3 78  50 81 
ifPhysAddress.585
ifPhysAddress.586
ifPhysAddress.587
ifAdminStatus.1 = 1
ifAdminStatus.4 = 1
ifAdminStatus.5 = 1
ifAdminStatus.6 = 1
ifAdminStatus.7 = 1
ifAdminStatus.8 = 1
ifAdminStatus.9 = 1
ifAdminStatus.10 = 1
ifAdminStatus.11 = 1
ifAdminStatus.12 = 1
ifAdminStatus.13 = 1
ifAdminStatus.17 = 1
ifAdminStatus.18 = 1
ifAdminStatus.21 = 1
ifAdminStatus.22 = 1
ifAdminStatus.23 = 1
ifAdminStatus.24 = 1
ifAdminStatus.33 = 1
ifAdminStatus.34 = 1
ifAdminStatus.501 = 1
ifAdminStatus.502 = 1
ifAdminStatus.503 = 1
ifAdminStatus.504 = 1
ifAdminStatus.505 = 1
ifAdminStatus.506 = 1
ifAdminStatus.507 = 1
ifAdminStatus.508 = 1
ifAdminStatus.509 = 1
ifAdminStatus.510 = 1
ifAdminStatus.511 = 1
ifAdminStatus.512 = 1
ifAdminStatus.513 = 1
ifAdminStatus.514 = 1
ifAdminStatus.515 = 1
ifAdminStatus.516 = 1
ifAdminStatus.517 = 1
ifAdminStatus.518 = 1
ifAdminStatus.519 = 1
ifAdminStatus.520 = 1
ifAdminStatus.521 = 1
ifAdminStatus.522 = 1
ifAdminStatus.523 = 1
ifAdminStatus.524 = 1
ifAdminStatus.525 = 1
ifAdminStatus.526 = 1
ifAdminStatus.527 = 1
ifAdminStatus.528 = 1
ifAdminStatus.529 = 1
ifAdminStatus.530 = 1
ifAdminStatus.531 = 1
ifAdminStatus.532 = 1
ifAdminStatus.533 = 1
ifAdminStatus.534 = 1
ifAdminStatus.535 = 1
ifAdminStatus.536 = 1
ifAdminStatus.537 = 1
ifAdminStatus.540 = 1
ifAdminStatus.542 = 1
ifAdminStatus.555 = 1
ifAdminStatus.583 = 1
ifAdminStatus.584 = 1
ifAdminStatus.585 = 1
ifAdminStatus.586 = 1
ifAdminStatus.587 = 1
ifOperStatus.1 = 1
ifOperStatus.4 = 1
ifOperStatus.5 = 1
ifOperStatus.6 = 1
ifOperStatus.7 = 1
ifOperStatus.8 = 1
ifOperStatus.9 = 1
ifOperStatus.10 = 1
ifOperStatus.11 = 1
ifOperStatus.12 = 1
ifOperStatus.13 = 1
ifOperStatus.17 = 1
ifOperStatus.18 = 1
ifOperStatus.21 = 1
ifOperStatus.22 = 1
ifOperStatus.23 = 2
ifOperStatus.24 = 7
ifOperStatus.33 = 1
ifOperStatus.34 = 1
ifOperStatus.501 = 1
ifOperStatus.502 = 1
ifOperStatus.503 = 1
ifOperStatus.504 = 1
ifOperStatus.505 = 1
ifOperStatus.506 = 1
ifOperStatus.507 = 1
ifOperStatus.508 = 1
ifOperStatus.509 = 1
ifOperStatus.510 = 1
ifOperStatus.511 = 1
ifOperStatus.512 = 2
ifOperStatus.513 = 2
ifOperStatus.514 = 2
ifOperStatus.515 = 2
ifOperStatus.516 = 1
ifOperStatus.517 = 2
ifOperStatus.518 = 2
ifOperStatus.519 = 2
ifOperStatus.520 = 2
ifOperStatus.521 = 2
ifOperStatus.522 = 2
ifOperStatus.523 = 2
ifOperStatus.524 = 2
ifOperStatus.525 = 2
ifOperStatus.526 = 2
ifOperStatus.527 = 1
ifOperStatus.528 = 2
ifOperStatus.529 = 2
ifOperStatus.530 = 2
ifOperStatus.531 = 2
ifOperStatus.532 = 2
ifOperStatus.533 = 2
ifOperStatus.534 = 1
ifOperStatus.535 = 2
ifOperStatus.536 = 1
ifOperStatus.537 = 1
ifOperStatus.540 = 1
ifOperStatus.542 = 1
ifOperStatus.555 = 1
ifOperStatus.583 = 7
ifOperStatus.584 = 7
ifOperStatus.585 = 1
ifOperStatus.586 = 1
ifOperStatus.587 = 1
ifLastChange.1 = 0
ifLastChange.4 = 0
ifLastChange.5 = 0
ifLastChange.6 = 0
ifLastChange.7 = 0
ifLastChange.8 = 0
ifLastChange.9 = 0
ifLastChange.10 = 0
ifLastChange.11 = 0
ifLastChange.12 = 0
ifLastChange.13 = 0
ifLastChange.17 = 0
ifLastChange.18 = 0
ifLastChange.21 = 0
ifLastChange.22 = 0
ifLastChange.23 = 0
ifLastChange.24 = 0
ifLastChange.33 = 0
ifLastChange.34 = 0
ifLastChange.501 = 7078
ifLastChange.502 = 7078
ifLastChange.503 = 7082
ifLastChange.504 = 7082
ifLastChange.505 = 7082
ifLastChange.506 = 7098
ifLastChange.507 = 7098
